tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
112,57:19.6,59:12.0,183,Alewife MBTA at Steel Place,42.39558846,-71.14260614,319,84 Cambridgepark Dr,42.3936,-71.143941,2476,Subscriber,1988,1
182,57:48.5,00:51.1,100,Davis Square,42.396969,-71.123024,114,Teele Square,42.40203828,-71.12653291,4267,Subscriber,1995,0
645,57:51.7,08:37.7,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,71,Conway Park - Somerville Avenue,42.383405,-71.107593,1035,Customer,1969,0
1308,57:56.6,19:45.5,49,Stuart St at Charles St,42.351146,-71.066289,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,2774,Subscriber,1992,1
660,58:07.8,09:08.4,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,9,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,5429,Customer,1969,0
1523,00:01.8,25:25.0,15,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,19,Park Dr at Buswell St,42.347241,-71.105301,5184,Customer,1994,1
438,00:23.2,07:41.4,400,Big Papi Station,42.34734473,-71.10016808,19,Park Dr at Buswell St,42.347241,-71.105301,4510,Subscriber,1994,1
2447,02:14.7,43:02.6,53,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,4423,Customer,1969,0
731,02:32.3,14:44.0,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,189,Kendall T,42.36242784,-71.08495474,4259,Subscriber,1986,1
1149,02:49.4,21:59.2,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,137,Magoun Square at Trum Field,42.398365,-71.107818,3397,Subscriber,1990,1
295,03:06.8,08:02.5,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168,-71.12188071,5451,Subscriber,1982,1
