tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
425,10/01/19 0:00:29,10/01/19 0:07:34,221,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,2990,Subscriber,1982,1
442,10/01/19 0:00:55,10/01/19 0:08:17,396,Main St at Beacon St,42.41072714,-71.06266823,390,Broadway at Lynde St,42.39648358,-71.0654676,2531,Subscriber,1978,1
1498,10/01/19 0:01:11,10/01/19 0:26:09,380,Mass Ave at Albany St,42.36135838,-71.09670274,81,Chinatown T Stop,42.352409,-71.062679,2961,Subscriber,1994,1
323,10/01/19 0:02:00,10/01/19 0:07:23,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,2793,Subscriber,1993,1
300,10/01/19 0:02:08,10/01/19 0:07:09,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,5860,Customer,1969,0
271,10/01/19 0:02:19,10/01/19 0:06:51,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,115,Porter Square Station,42.387995,-71.119084,3781,Subscriber,1996,1
1777,10/01/19 0:02:34,10/01/19 0:32:12,336,Mattapan T Stop,42.267902,-71.093641,336,Mattapan T Stop,42.267902,-71.093641,4137,Customer,1997,1
506,10/01/19 0:03:00,10/01/19 0:11:26,206,Government Center - Cambridge St at Court St,42.35980252,-71.05960783,185,Third at Binney,42.36544486,-71.08277142,5222,Customer,1974,1
202,10/01/19 0:03:24,10/01/19 0:06:47,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,25,South End Library - Tremont St at W Newton St,42.341332,-71.076847,4977,Subscriber,1991,1
491,10/01/19 0:03:31,10/01/19 0:11:43,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,233,St Mary's,42.34619708,-71.10728681,3475,Subscriber,1995,2
489,10/01/19 0:03:33,10/01/19 0:11:43,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,233,St Mary's,42.34619708,-71.10728681,5198,Subscriber,1997,1
715,10/01/19 0:03:48,10/01/19 0:15:43,273,Forest Hills,42.300923,-71.114249,422,Cummins at American Legion,42.27881158,-71.11687703,3597,Subscriber,1999,1
417,10/01/19 0:03:51,10/01/19 0:10:49,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,4829,Subscriber,1996,1
530,10/01/19 0:04:21,10/01/19 0:13:12,39,Washington St at Rutland St,42.3385146,-71.07404083,39,Washington St at Rutland St,42.3385146,-71.07404083,5975,Subscriber,1992,1
239,10/01/19 0:05:36,10/01/19 0:09:36,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,33,Kenmore Square,42.348706,-71.097009,2126,Subscriber,2000,1
3870,10/01/19 0:06:11,10/01/19 1:10:41,403,Marion St at Harvard St,42.33978053,-71.1213335,196,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,5673,Customer,1985,1
503,10/01/19 0:07:32,10/01/19 0:15:55,98,Warren St at Chelsea St,42.371848,-71.060292,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176,-71.05142981,5563,Subscriber,1988,1
